epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
80,7335.52,1.41352,0.62118,0.88069,0.00018,0,0.714,0.65291,0.64503,0.34991,1.4077,0.65016,0.92259,0.0003,0,0.000311379,0.000311379,0.000311379,0.0285183,0
81,7429.45,1.41561,0.62469,0.87881,0.00017,0,0.71033,0.67098,0.65512,0.35552,1.3716,0.6452,0.91473,0.00031,0,0.000297232,0.000297232,0.000297232,0.0266781,0
82,7524.24,1.39501,0.61739,0.87709,0.00016,0,0.71212,0.64959,0.65087,0.35209,1.37633,0.64665,0.91723,0.00031,0,0.000283085,0.000283085,0.000283085,0.0249252,0
83,7617.92,1.40274,0.61831,0.87633,0.00015,0,0.71997,0.66017,0.65058,0.3549,1.37285,0.65327,0.91357,0.0003,0,0.000268938,0.000268938,0.000268938,0.0232618,0
84,7710.86,1.36416,0.5941,0.87737,0.00014,0,0.71187,0.64562,0.64502,0.35355,1.3832,0.65881,0.91643,0.0003,0,0.000254791,0.000254791,0.000254791,0.0216898,0
85,7803.25,1.37119,0.60163,0.87171,0.00013,0,0.72697,0.66649,0.66245,0.35844,1.38232,0.64993,0.91651,0.0003,0,0.000240644,0.000240644,0.000240644,0.0202107,0
86,7896.08,1.4144,0.61324,0.87267,0.00012,0,0.73544,0.65571,0.66378,0.35917,1.37406,0.64202,0.91624,0.00029,0,0.000226497,0.000226497,0.000226497,0.0188264,0
87,7988.64,1.42912,0.62006,0.8683,0.00012,0,0.71425,0.65791,0.66064,0.35914,1.36425,0.63836,0.91253,0.0003,0,0.000212349,0.000212349,0.000212349,0.0175383,0
88,8080.85,1.39204,0.60586,0.87,0.00011,0,0.71744,0.66449,0.65833,0.35583,1.36515,0.63882,0.9133,0.0003,0,0.000198202,0.000198202,0.000198202,0.0163478,0
89,8171.9,1.35021,0.5924,0.86874,0.0001,0,0.72314,0.65918,0.659,0.35739,1.37043,0.64051,0.91365,0.0003,0,0.000184055,0.000184055,0.000184055,0.0152564,0
